"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2012","2012",34427.23,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2013","2013",34101.49,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2014","2014",33924.75,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2015","2015",30797.87,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2016","2016",32455.96,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2017","2017",36338.63,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2018","2018",42436.61,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2019","2019",42694.46,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2020","2020",46874.25,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","CZE","Czechia","2021","2021",55557.65,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2010","2010",182268.37,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2011","2011",190314.73,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2012","2012",179706.05,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2013","2013",186626.92,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2014","2014",188071.48,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2015","2015",159022.71,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2016","2016",161341.58,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2017","2017",167581.09,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2018","2018",176731.96,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2019","2019",170061.48,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2020","2020",170609.3,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DNK","Denmark","2021","2021",187235.06,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2010","2010",127181.3,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2011","2011",139377.85,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2012","2012",132275.44,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2013","2013",139338.2,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2014","2014",139560.37,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2015","2015",118838.87,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2016","2016",120095.73,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2017","2017",121337.86,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2018","2018",131078.81,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2019","2019",126066.3,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2020","2020",133894,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FIN","Finland","2021","2021",143847.27,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2010","2010",99327.7,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2011","2011",104439.4,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2012","2012",100463.33,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2013","2013",105407.73,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2014","2014",106354.81,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2015","2015",89007.03,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2016","2016",89907.89,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2017","2017",92939.54,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2018","2018",99095.44,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2019","2019",93942.97,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","FRA","France","2020","2020",98822.85,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2010","2010",163726.01,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2011","2011",174690.36,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2012","2012",163682.1,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2013","2013",172389.75,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2014","2014",174565.05,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2015","2015",147676.24,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2016","2016",151092.35,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2017","2017",156008.88,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2018","2018",164624.99,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2019","2019",160644.64,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2020","2020",166303.83,"E; D","Estimated value; Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","DEU","Germany","2021","2021",175518.69,"E; D","Estimated value; Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2010","2010",70917.87,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2011","2011",72949.91,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2012","2012",62914.75,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2013","2013",57313.51,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2014","2014",57330.03,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2015","2015",46443.8,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2019","2019",43668.38,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2020","2020",44609.54,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","GRC","Greece","2021","2021",48679.23,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2010","2010",21206.35,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2011","2011",21953.34,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2012","2012",23698.63,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2013","2013",26593.33,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2014","2014",26684.38,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2015","2015",22934.43,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2016","2016",25894.79,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2017","2017",31662.16,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2018","2018",37519.26,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2019","2019",36369.01,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2020","2020",37678.57,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","HUN","Hungary","2021","2021",70124.23,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2010","2010",101590.94,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2011","2011",112273.48,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2012","2012",115393.38,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2013","2013",124365.08,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2014","2014",140166.77,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2015","2015",146274.49,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2016","2016",172491.49,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2017","2017",202042.25,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2018","2018",207118.74,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2019","2019",186979.27,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2020","2020",177355.29,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ISL","Iceland","2021","2021",194399.66,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2010","2010",241049.76,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2011","2011",245983.51,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2012","2012",227045.32,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2013","2013",230622.42,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2014","2014",219064.65,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2015","2015",180095.11,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2016","2016",176800.03,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2017","2017",187325.89,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2018","2018",198080.1,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2019","2019",191965.93,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2020","2020",197464.88,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2021","2021",206300.67,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","IRL","Ireland","2022","2022",185923.78,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2010","2010",97140.56,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2011","2011",99764.2,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2012","2012",92096.24,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2013","2013",95346.94,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2014","2014",95273.46,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2015","2015",77866.76,"B","Break"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2016","2016",77683.6,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2017","2017",79282.11,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2018","2018",82880.54,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2019","2019",78795.36,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2020","2020",93043.34,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2021","2021",92124.84,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","ITA","Italy","2022","2022",82184.11,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2010","2010",106908.13,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2011","2011",118381.48,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2012","2012",122736.95,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2013","2013",130819.95,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2014","2014",139530.67,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2015","2015",133544.74,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2016","2016",136324.56,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2017","2017",146313.76,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2018","2018",156963.83,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2019","2019",156742.3,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","KOR","Korea","2020","2020",160387.08,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","LUX","Luxembourg","2010","2010",261754.8,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","LUX","Luxembourg","2011","2011",289750.76,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","LUX","Luxembourg","2012","2012",281316.09,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","LUX","Luxembourg","2013","2013",308136.72,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","LUX","Luxembourg","2014","2014",324026.74,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","LUX","Luxembourg","2015","2015",286866.91,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2010","2010",31394.86,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2011","2011",33400.12,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2012","2012",33279.52,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2013","2013",35872.31,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2014","2014",35957.85,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2015","2015",31431.52,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2016","2016",27774.3,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2017","2017",28492.9,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2018","2018",29052.07,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2019","2019",30149.02,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2020","2020",28102.47,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","MEX","Mexico","2021","2021",30831.69,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2010","2010",195014.24,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2011","2011",205941.14,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2012","2012",196440.36,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2013","2013",204523.57,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2014","2014",194562.98,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2015","2015",167114.91,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2016","2016",168936.74,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2017","2017",172432.18,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2018","2018",183092.55,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2019","2019",175207.28,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2020","2020",183961.2,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NLD","Netherlands","2021","2021",193241.38,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2010","2010",123917.56,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2011","2011",139598.25,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2012","2012",149293.84,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2013","2013",152146.78,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2014","2014",155783.86,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2015","2015",134493.98,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2016","2016",135018.19,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2017","2017",138261.26,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2018","2018",145914.43,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2019","2019",139558.92,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2020","2020",139175.05,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2021","2021",153531.62,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NZL","New Zealand","2022","2022",143164.74,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2010","2010",127660.27,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2011","2011",143025.19,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2012","2012",140885.26,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2013","2013",140936.17,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2014","2014",133869.34,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2015","2015",118152.32,"B; D","Break; Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2016","2016",112571.43,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2017","2017",120991.33,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2018","2018",126544.11,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2019","2019",119604.55,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2020","2020",114662.19,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2021","2021",133774.16,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","NOR","Norway","2022","2022",124790.84,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","POL","Poland","2010","2010",20760.72,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","POL","Poland","2012","2012",20391.48,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","POL","Poland","2014","2014",21360.72,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","POL","Poland","2016","2016",16965.82,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","POL","Poland","2018","2018",22866.32,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","POL","Poland","2020","2020",23072.9,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","PRT","Portugal","2010","2010",62638.03,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","PRT","Portugal","2011","2011",59689.44,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","PRT","Portugal","2012","2012",46381.02,,
"RVNURMED","Remuneration of specialists","YSALXRMT","Salaried, income, US$ exchange rate","PRT","Portugal","2013","2013",53740.22,,
